Year,Mo,Dy,Tsunami Event Validity,Maximum Water Height (m),Total Deaths,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged,Country
1889,3,8,2,11,,,,,TONGA
1889,5,25,3,0.1,,,,,PHILIPPINES
1889,8,16,2,,,,,,INDONESIA
1889,9,6,4,4,,,,,INDONESIA
1889,9,8,-1,,,,,,USA
1889,9,8,-1,,,,,,INDONESIA
1889,11,23,2,,,,,,INDONESIA
1889,12,8,1,,,,,,ITALY
1890,7,11,3,,171,,,,IRAN
1891,1,15,3,,36,,75,,ALGERIA
1891,5,19,1,,,,,,INDONESIA
1891,6,10,3,,,,,,INDONESIA
1891,6,20,3,,,,,,INDONESIA
1891,6,22,2,,,,,,NEW ZEALAND
1891,7,30,1,,,,,,MEXICO
1891,9,16,2,,,,,,NEW ZEALAND
1891,10,5,3,,,,,,INDONESIA
1891,11,29,3,2.44,,,,,USA
1892,1,7,-1,,,,,,INDONESIA
1892,3,27,2,,,,,,CHILE
1892,5,10,1,,,,,,URUGUAY
1892,5,16,4,,,,,,USA TERRITORY
1892,5,17,3,,,,,,INDONESIA
1892,6,7,4,0.75,1532,,,,INDONESIA
1892,8,30,3,,,,,,TONGA
1892,8,,2,,,,,,VANUATU
1892,11,15,1,,,,,,ITALY
1892,11,18,3,,,,,,INDONESIA
1892,12,9,4,,1,,2,,JAPAN
1893,1,28,1,,,,,,GREECE
1893,2,9,4,1,1,,,,GREECE
1893,2,19,2,,,,,,JAMAICA
1893,4,17,3,,,,,,GREECE
1893,6,4,4,3,,,,,RUSSIA
1893,6,13,4,,,,,,JAPAN
1893,6,14,2,,,,,,ALBANIA
1893,6,21,0,,,,,,PHILIPPINES
1893,7,31,1,,,,,,VANUATU
1893,8,27,2,,,,,,VANUATU
1894,3,22,4,4,1,,,99,JAPAN
1894,4,27,4,3,,,,,GREECE
1894,5,10,2,6,,,,,MEXICO
1894,7,10,4,4.5,,,,,TURKEY
1894,10,22,4,,726,,3858,,JAPAN
1894,11,16,2,,101,,,,ITALY
1894,11,21,2,12.2,,,,,ATLANTIC OCEAN
1894,11,28,3,3,2,,,,USA
1894,,,2,1,,,,,TUNISIA
1895,1,28,-1,,,,,,USA
1895,3,6,4,6,,,,,PAPUA NEW GUINEA
1895,3,9,2,,,,,,USA
1895,5,25,1,,,,,,JAPAN
1895,5,31,4,,,,,,CHILE
1895,7,8,2,,,,,,TURKMENISTAN
1895,7,9,4,5,,,,,NEW ZEALAND
1895,7,,1,,,,,,USA
1895,8,18,4,,,,,,NEW ZEALAND
1895,9,1,3,,,,,,USA
1895,10,14,-1,,,,,,USA
1895,10,31,0,,,,,,USA
1895,11,1,1,,,,,,ITALY
1896,1,9,4,0.25,,,,,JAPAN
1896,2,16,2,,,,,,JAMAICA
1896,6,15,4,38.2,27122,,11000,,JAPAN
1896,10,10,2,,,,,,INDONESIA
1896,10,16,1,,,,,,ITALY
1896,11,5,3,,,,,,GREECE
1896,12,17,-1,2.5,,,,,USA
1896,,,4,,,,,,ICELAND
1897,2,19,4,1,,,,,JAPAN
1897,3,15,2,,,,,,INDONESIA
1897,3,26,3,,,,,,SOLOMON ISLANDS
1897,4,17,2,,,,,,USA
1897,4,29,1,,,,,,NEW ZEALAND
1897,6,12,0,,1542,,,,INDIA
1897,6,20,2,,,,,,MEXICO
1897,8,5,4,3.6,,,,,JAPAN
1897,9,20,1,2,,,,,PHILIPPINES
1897,9,21,4,7,13,,,,PHILIPPINES
1897,9,21,1,1,,,,,NEW ZEALAND
1897,10,18,3,,,,17,,PHILIPPINES
1897,12,29,1,,,,,,DOMINICAN REPUBLIC
1897,12,,1,,,,,,GREECE
1897,,,1,,,,,,MONTSERRAT
1898,3,31,1,0.31,,,,,USA
1898,4,22,4,0.1,,,,,JAPAN
1898,6,2,3,,,,,,GREECE
1898,7,23,1,,6,,,,CHILE
1898,12,3,2,,,,,,GREECE
1899,1,15,3,,,,,,PAPUA NEW GUINEA
1899,1,22,2,1,,,,,GREECE
1899,1,29,1,1.8,,,,,AUSTRALIA
1899,2,3,1,10,1,,,,PORTUGAL
1899,8,8,1,,,,,,CHILE
1899,9,4,4,3.1,,,,,USA
1899,9,10,4,60.96,,,,,USA
1899,9,29,4,12,2460,,,,INDONESIA
1899,10,7,2,,,,,,JAPAN
1899,10,19,2,,,,,,PAPUA NEW GUINEA
1899,11,24,4,0.3,,,,,JAPAN
1899,11,25,4,,,,,,JAPAN
1899,12,25,1,,,,,,USA
1899,,,3,3,,,,,VIETNAM
1900,1,10,1,,,,,,INDONESIA
1900,8,11,4,,5,,,,USA
1900,9,10,4,,,,,,PAPUA NEW GUINEA
1900,9,17,3,3,,,,,PAPUA NEW GUINEA
1900,10,7,3,,5,,1,,INDONESIA
1900,10,29,3,10,25,,,,VENEZUELA
1901,3,3,3,,,,,,USA
1901,3,31,3,3,4,,1200,,BULGARIA
1901,6,15,4,,,,,,JAPAN
1901,6,24,4,0.25,,,,,JAPAN
1901,8,9,4,0.6,,,,,JAPAN
1901,8,9,4,1.2,,,,,NEW CALEDONIA
1901,8,9,4,0.25,18,,8,,JAPAN
1901,8,9,4,0.02,,,,,JAPAN
1901,9,10,2,,,,,,PHILIPPINES
1901,10,8,3,1.5,,,,,NICARAGUA
1901,12,31,1,,,,,,USA
1902,1,18,1,,,,,,GUATEMALA
1902,2,26,3,,185,,,,EL SALVADOR
1902,4,19,0,,2000,,,,GUATEMALA
1902,5,5,4,5,23,,,,MARTINIQUE (FRENCH TERRITORY)
1902,5,7,4,1,1680,,,,SAINT VINCENT AND THE GRENADINES
1902,5,8,2,,28000,,,,MARTINIQUE (FRENCH TERRITORY)
1902,5,20,2,,,,,,MARTINIQUE (FRENCH TERRITORY)
1902,6,6,2,,,,,,MARTINIQUE (FRENCH TERRITORY)
1902,7,5,3,,,,,,GREECE
1902,7,8,2,,,,,,MARTINIQUE (FRENCH TERRITORY)
1902,8,16,1,,,,,,MEXICO
1902,8,21,1,,,,,,PHILIPPINES
1902,8,30,4,1,1500,,,,MARTINIQUE (FRENCH TERRITORY)
1902,9,27,1,,,,,,GUATEMALA
1903,2,10,1,0.15,,,,,USA TERRITORY
1903,3,30,2,1,,,,,INDONESIA
1903,5,13,1,,,,,,ITALY
1903,7,16,1,,,,,,MEXICO
1903,8,,2,,,,,,USA
1903,9,7,1,,,,,,TAIWAN
1903,9,26,2,,,,,,CHILE
1903,10,6,-1,,,,,,USA
1903,10,8,-1,,,,,,USA
1903,10,20,3,,,,,,CANADA
1903,11,17,1,,,,,,USA
1903,11,24,4,,,,,,USA
1903,11,29,0,15.7,,,,,USA
1903,12,7,3,,,,,,CHILE
1904,1,20,1,,,,,,COLOMBIA
1904,2,2,2,,,,,,INDONESIA
1904,3,30,-1,,,,,,USA
1904,6,25,4,,,,,,RUSSIA
1904,6,25,3,,,,,,RUSSIA
1904,7,5,1,,,,,,INDONESIA
1904,8,8,1,3,,,,,NEW ZEALAND
1904,8,25,1,,,,,,NEW ZEALAND
1904,9,7,1,,,,,,INDONESIA
1904,12,20,2,,,,,,PANAMA
1904,12,30,-1,,,,,,COOK ISLANDS
1905,1,16,0,40.5,61,,,,NORWAY
1905,1,20,2,,,,,,GREECE
1905,1,20,2,,,,,,COSTA RICA
1905,1,,1,,,,,,MEXICO
1905,2,26,2,,1,,,,NEW ZEALAND
1905,3,19,2,0.6,,,,,VANUATU
1905,4,4,0,,19000,,,,INDIA
1905,7,4,4,33.53,,,,,USA
1905,7,6,3,,57,,,,JAPAN
1905,8,4,2,,,,,,SAMOA
1905,9,8,4,1.3,557,,6700,,ITALY
1905,10,4,4,0.5,,,,,RUSSIA
1905,10,21,1,,,,,,GEORGIA
1905,11,8,3,3,11,,,,GREECE
1905,11,22,2,,,,,,VANUATU
1905,11,24,2,,,,,,VANUATU
1905,12,8,1,,,,,,PHILIPPINES
1905,,,2,,,,,,TUNISIA
1905,,,1,,,,,,TOGO
1906,1,31,4,5,1000,,,,ECUADOR
1906,1,31,4,,,,,,VENEZUELA
1906,2,7,4,0.25,,,,,ECUADOR
1906,2,21,3,,,,,,COLOMBIA
1906,4,4,4,0.4,350,,,,ITALY
1906,4,18,4,0.1,,,,,USA
1906,5,7,2,,,,,,CHILE
1906,5,25,2,,,,,,EL SALVADOR
1906,7,1,1,,,,,,"MARSHALL ISLANDS, REP. OF"
1906,8,7,2,0.02,,,,,USA
1906,8,17,3,3.5,4000,100,,,CHILE
1906,9,14,4,1.5,,,,,PAPUA NEW GUINEA
1906,10,2,3,1.2,,,,,PAPUA NEW GUINEA
1906,11,6,-1,,,,,,USA
1906,11,20,3,,,,,,GHANA
1906,11,28,2,,,,,,SAMOA
1906,12,26,2,,,,,,PERU
1906,,,1,,,,,,VENEZUELA
1907,1,4,4,15,2188,,,,INDONESIA
1907,1,14,4,2.5,1000,30,,,JAMAICA
1907,3,29,1,4,,,,,INDONESIA
1907,4,14,3,2,8,,,,MEXICO
1907,6,8,2,,,,,,SAMOA
1907,6,19,2,,,,,,SAMOA
1907,6,27,2,,,,,,SAMOA
1907,7,9,2,,,,,,SAMOA
1907,7,25,2,,,,,,SAMOA
1907,7,,2,,,,,,TONGA
1907,9,24,3,0.7,,,,,USA
1907,10,6,4,3.6,,,,,SAMOA
1907,10,23,4,,158,,,,ITALY
1907,12,15,2,,,,,,PAPUA NEW GUINEA
1908,2,6,3,1.4,,,,,INDONESIA
1908,2,14,1,,,,,,USA
1908,3,23,-1,,,,,,INDONESIA
1908,4,6,0,15,33,,40,,CANADA
1908,5,31,1,,,,,,UKRAINE
1908,9,11,2,,,,,,CANADA
1908,9,21,4,1.2,,,,,USA
1908,12,12,1,,,,,,PERU
1908,12,28,4,13,80000,116,,,ITALY
1909,3,7,2,3,,,,,COOK ISLANDS
1909,3,12,4,,,,,,JAPAN
1909,3,13,4,,,,,,JAPAN
1909,6,3,2,,,,,,INDONESIA
1909,6,8,0,,,,,,CHILE
1909,7,8,1,,,,,,VANUATU
1909,7,30,2,9,,,,,MEXICO
1909,8,14,4,1.8,41,,976,,JAPAN
1909,9,20,-1,,300,,,,USA
1909,10,6,0,,,,,,USA
1909,12,9,4,,,,,,USA TERRITORY
1910,2,25,1,,,,,,PAPUA NEW GUINEA
1910,3,20,0,,,,,,NEW ZEALAND
1910,11,5,1,,,,,,USA
1910,11,10,3,,,,,,VANUATU
1910,11,21,0,0.3,,,,,USA
1910,12,18,2,,,,,,INDONESIA
1910,12,30,1,,,,,,PHILIPPINES
1911,1,30,4,3,1335,,543,,PHILIPPINES
1911,2,18,3,,,,,,ALBANIA
1911,5,8,2,,,,,,PAPUA NEW GUINEA
1911,5,11,2,5,,,,,TOGO
1911,6,15,4,,12,,422,,JAPAN
1911,7,12,1,,,,,,PHILIPPINES
1911,9,15,2,,,,,,CHILE
1911,9,22,1,,,,,,USA
1911,11,3,3,,,,,,TRINIDAD AND TOBAGO
1912,1,24,2,,,,,,GREECE
1912,4,13,0,,,,,,USA
1912,6,8,3,0.5,,,,,JAPAN
1912,8,9,4,2.7,2800,,24700,15400,TURKEY
1912,10,31,1,,,,,,"MICRONESIA, FED. STATES OF"
1912,12,6,1,,,,,,"MICRONESIA, FED. STATES OF"
1913,2,22,3,1.5,,,,,NEW ZEALAND
1913,3,14,-1,,138,,,,INDONESIA
1913,6,9,2,,,,,,USA
1913,7,28,1,,,,,,PERU
1913,8,6,2,,,,,,PERU
1913,10,2,2,,,,,,PANAMA
1913,10,11,4,0.1,,,,,PAPUA NEW GUINEA
1913,12,11,2,4.5,,,,,USA
1914,1,12,4,3,63,19,2268,,JAPAN
1914,1,12,2,1,,,,,PERU
1914,1,15,1,,,,,,ITALY
1914,2,26,1,,,,,,PERU
1914,3,14,-1,,,,,,INDONESIA
1914,5,26,4,0.1,,,,,INDONESIA
1914,5,,2,,,,,,CANADA
1914,6,25,2,,20,,,,INDONESIA
1914,10,6,4,,1,,,,NEW ZEALAND
1914,11,27,1,3,14,,,,GREECE
1914,12,3,2,,,,,,INDONESIA
1915,1,27,2,,,,,,GREECE
1915,2,11,1,2.4,3,,,,USA TERRITORY
1915,5,23,1,0.5,,,,,INDONESIA
1915,8,7,3,1.5,,,,,GREECE
1915,8,,1,,,,,,PAPUA NEW GUINEA
1915,9,7,1,,,,,,EL SALVADOR
1915,11,1,4,1,,,,,JAPAN
1915,11,6,2,,,,,,INDONESIA
1915,11,18,3,,,,,,PHILIPPINES
1916,1,1,3,,,,,,PAPUA NEW GUINEA
1916,1,31,1,,,,,,COSTA RICA
1916,4,26,4,1.3,,0.025,,,PANAMA
1916,7,3,4,10,,,,,ITALY
1916,8,16,4,,,,,,ITALY
1916,11,12,2,,,,,,VENEZUELA
1917,1,9,1,,,,,,INDONESIA
1917,1,20,3,2,1500,,,,INDONESIA
1917,1,25,3,,,,,,CHINA
1917,1,30,2,,,,,,RUSSIA
1917,1,31,3,1.5,7,,,,PHILIPPINES
1917,1,,1,,,,,,INDONESIA
1917,3,16,2,1.5,,,,,INDONESIA
1917,5,1,4,0.3,,,,,NEW ZEALAND
1917,5,6,4,0.5,,,,,TAIWAN
1917,6,26,4,12.2,2,,,,SAMOA
1917,7,29,2,0.9,,,,,PAPUA NEW GUINEA
1917,8,16,3,2.4,1,,,,USA
1917,8,23,2,,,,,,INDONESIA
1917,9,1,2,1.9,,,,,FRENCH POLYNESIA
1917,11,16,2,2.5,,,,,NEW ZEALAND
1917,12,6,4,7,2000,,,,CANADA
1918,2,13,3,,2000,,,,CHINA
1918,5,20,2,,,,,,CHILE
1918,7,18,1,0.08,,,,,INDONESIA
1918,8,14,0,,,,,,CHINA
1918,8,15,4,7.2,52,,,,PHILIPPINES
1918,9,7,4,12,23,,,19,RUSSIA
1918,10,11,4,6.1,144,4,,,USA TERRITORY
1918,10,25,3,,,,,,USA TERRITORY
1918,11,8,4,0.5,,,,,RUSSIA
1918,12,4,4,5,,,,,CHILE
1918,,,1,,,,,,ICELAND
1919,1,1,1,0.44,,,,,PHILIPPINES
1919,1,1,1,0.4,,,,,TONGA
1919,1,,-1,,,,,,USA
1919,2,13,2,,,,,,INDONESIA
1919,4,3,1,5,,,,,INDONESIA
1919,4,9,-1,,,,,,USA
1919,4,29,-1,,,,,,TONGA
1919,4,30,4,2.5,,,,,TONGA
1919,5,6,3,,,,,,PAPUA NEW GUINEA
1919,5,22,4,0.75,4,,10,,ITALY
1919,6,29,3,,,,,,NICARAGUA
1919,8,19,0,,,,,,VENEZUELA
1919,10,2,4,4.3,,,,,USA
1919,10,22,-1,,,,,,ITALY
1919,11,21,1,,,,,,INDONESIA
1919,12,26,1,,,,,,UKRAINE
1920,1,29,1,2,,,,,INDONESIA
1920,2,2,1,,,,,,PAPUA NEW GUINEA
1920,8,20,3,1.4,,,,,CHILE
1920,8,,-1,,,,,,USA TERRITORY
1920,9,20,3,,,,,,VANUATU
1920,12,16,0,0.75,,,,,CHINA
1920,12,18,1,,,,,,ALBANIA
1921,5,14,2,1,,,,,INDONESIA
1921,8,4,3,,,,,,CHINA
1921,9,11,4,0.1,,,,,INDONESIA
1921,11,11,3,,,,,,PHILIPPINES
1921,12,16,-1,,,,,,USA
1922,1,6,2,,,,,,PERU
1922,1,19,3,1.8,,,,,PAPUA NEW GUINEA
1922,2,22,1,,,,,,INDONESIA
1922,2,27,2,0.7,5,,,,PHILIPPINES
1922,3,1,2,,,,,,PHILIPPINES
1922,4,10,1,,,,,,INDONESIA
1922,5,2,2,0.64,,,,,USA
1922,7,8,1,,,,,,INDONESIA
1922,8,8,2,,,,,,GREECE
1922,9,1,1,,5,,139,,TAIWAN
1922,10,22,1,,,,,,AUSTRALIA
1922,11,7,2,,,,,,CHILE
1922,11,11,4,9,700,,,,CHILE
1922,12,25,3,0.4,,,,,NEW ZEALAND
1923,1,22,0,0.1,,,,,USA
1923,2,3,4,8,3,1.5,,,RUSSIA
1923,2,17,3,1.5,,,,,CHILE
1923,3,2,3,,,,,,PHILIPPINES
1923,3,4,1,35,,,,,CHILE
1923,4,13,4,20,18,,,,RUSSIA
1923,5,4,-1,,,,,,CHILE
1923,5,7,-1,,,,,,CHILE
1923,6,1,4,0.4,,,,,JAPAN
1923,7,18,1,,,,,,PHILIPPINES
1923,8,6,1,,2,,,,USA
1923,8,12,2,,,,,,CHILE
1923,8,,1,,,,,,KOREA
1923,9,1,4,13,142807,600,695000,,JAPAN
1923,9,2,4,0.3,,,,,JAPAN
1923,9,4,-1,6.1,,,,,USA
1923,11,2,3,,,,,,PAPUA NEW GUINEA
1923,11,4,1,,,,,,PAPUA NEW GUINEA
1923,,,2,,,,,,VIETNAM
1924,3,15,0,,,,,,RUSSIA
1924,4,13,-1,,,,,,RUSSIA
1924,4,14,4,,,,,,PHILIPPINES
1924,4,16,-1,,,,,,RUSSIA
1924,5,6,4,,,,,,PHILIPPINES
1924,5,30,-1,5,,,,,USA
1924,6,2,-1,,,,,,PHILIPPINES
1924,6,26,3,,,,,,AUSTRALIA
1924,7,19,1,,,,,,NEW ZEALAND
1924,8,8,1,4.6,,,,,USA
1924,8,28,1,,,,,,ICELAND
1924,8,30,2,,,,,,PHILIPPINES
1925,1,8,1,1,,,,,INDONESIA
1925,2,23,3,1.4,,,,,USA
1925,5,4,1,,,,,,MEXICO
1925,5,5,2,,17,,,,PHILIPPINES
1925,5,11,-1,,,,,,ITALY
1925,5,15,2,,,,,,CHILE
1925,5,25,2,,,,,,PHILIPPINES
1925,10,4,4,0.34,,,,,USA
1925,11,13,2,,,,,,PHILIPPINES
1925,11,16,1,11,,,,,MEXICO
1925,11,25,-1,,,,,,PHILIPPINES
1925,12,22,1,,,,,,"MICRONESIA, FED. STATES OF"
1926,1,9,2,3,,,,,USA
1926,1,25,3,,,,,,SOLOMON ISLANDS
1926,3,20,1,1.5,,,,,USA
1926,3,31,-1,,1,,,,COOK ISLANDS
1926,6,28,0,,,,,,INDONESIA
1926,7,30,1,,,,,,UK
1926,7,,1,,,,,,SOUTH KOREA
1926,8,17,2,,,,,,ITALY
1926,8,30,3,,,,,,GREECE
1926,8,31,1,0.3,9,,,,PORTUGAL
1926,9,16,4,2,,,,,SOLOMON ISLANDS
1926,12,9,2,,,,,,CHILE
1926,12,18,2,,,,,,PORTUGAL
1926,,,2,6.35,,,,,NEW ZEALAND
1927,1,1,1,,1,3,,20,USA
1927,1,24,2,,,,,,NORWAY
1927,3,7,4,11.3,3022,,15594,9821,JAPAN
1927,6,26,4,0.7,,,,,UKRAINE
1927,7,11,2,1,268,,,,ISRAEL
1927,8,5,4,0.1,,,,,JAPAN
1927,8,18,4,0.4,,,,,JAPAN
1927,9,6,1,,,,,,MEXICO
1927,9,11,4,1,11,,,,UKRAINE
1927,10,12,2,,,,,,USA
1927,10,24,3,,,,,,USA
1927,11,4,4,1.8,,,,,USA
1927,11,21,3,,,,,,CHILE
1927,12,1,3,15,50,,,,INDONESIA
1927,12,28,4,2,,,,,RUSSIA
1928,2,9,2,,,,,,CANADA
1928,3,22,4,,,,,,MEXICO
1928,3,26,3,,,,,,INDONESIA
1928,3,31,1,,170,,2600,,GREECE
1928,3,31,1,,,,,,CHILE
1928,4,9,1,,10,,,,PERU
1928,4,22,3,0.6,20,,3000,,GREECE
1928,4,24,2,,,,,,GREECE
1928,4,25,1,,,,,,GREECE
1928,4,27,0,,,,,,PERU
1928,4,27,2,0.6,,,,,GREECE
1928,5,2,1,,,,,,GREECE
1928,5,3,2,,,,,,TURKEY
1928,5,18,2,,,,,,TONGA
1928,5,27,4,0.45,,,,,JAPAN
1928,5,30,-1,,,,,,JAPAN
1928,6,15,3,,,,,,PHILIPPINES
1928,6,17,4,0.2,4,,,,MEXICO
1928,7,18,2,,,,,,PERU
1928,8,4,4,10,226,,,,INDONESIA
1928,9,13,-1,,,,,,VENEZUELA
1928,11,20,2,,,,,,CHILE
1928,12,1,3,1.5,279,,,,CHILE
1928,12,19,3,,97,,,,PHILIPPINES
1928,,,1,,,,,,CANADA
1929,1,17,4,6,50,,,,VENEZUELA
1929,3,7,4,1,,,,,USA
1929,5,21,4,0.7,,,,,JAPAN
1929,5,26,3,1.5,,,,,CANADA
1929,6,13,2,,,,,,PHILIPPINES
1929,6,16,2,2.5,17,,,,NEW ZEALAND
1929,8,9,2,7.5,,,,,CHILE
1929,8,12,0,,,,,,USA
1929,11,9,2,,6,,,,INDONESIA
1929,11,18,4,13,28,1,,,CANADA
1930,1,3,0,,,,,,CHINA
1930,2,16,2,,,,,,SPAIN
1930,2,,-1,,,,,,USA
1930,3,4,4,5,20,,,,PORTUGAL
1930,3,17,1,500,,,,,INDONESIA
1930,5,2,4,,,,,,NORWAY
1930,5,5,4,1.06,500,,,,MYANMAR (BURMA)
1930,6,19,3,1.5,,,,,INDONESIA
1930,7,19,2,0.1,,,,,INDONESIA
1930,8,31,3,3.05,1,,,,USA
1930,9,11,4,2.5,6,,,,ITALY
1930,9,11,1,,,,,,INDONESIA
1930,9,30,3,,,,,,PAPUA NEW GUINEA
1930,10,30,4,,18,,,,ITALY
1930,11,5,3,6,,,,,KENYA
1930,12,23,4,12,27,,104,,PAPUA NEW GUINEA
1930,12,29,2,1,,,,,CHILE
1931,2,2,4,15,261,25,,,NEW ZEALAND
1931,2,13,1,0.1,,,,,NEW ZEALAND
1931,2,19,1,,,,,,NEW ZEALAND
1931,3,9,4,0.4,,,,,JAPAN
1931,3,18,2,,,,,,CHILE
1931,6,7,2,,,,,,UK
1931,8,7,1,,,,,,PAPUA NEW GUINEA
1931,8,19,1,3,4,,,,USA
1931,8,31,1,,,,,,PORTUGAL
1931,9,25,3,1,,,,,INDONESIA
1931,10,3,4,9,50,,,,SOLOMON ISLANDS
1931,11,2,4,0.8,1,,14,,JAPAN
1931,12,1,1,1,,,,,CUBA
1932,2,3,2,,,,,,CUBA
1932,5,7,-1,,,,,,ITALY
1932,6,3,4,10,400,,,,MEXICO
1932,6,18,4,1,,,,,MEXICO
1932,6,22,4,10,75,,400,,MEXICO
1932,6,29,2,,,,,,MEXICO
1932,9,9,2,,,,73,,INDONESIA
1932,9,15,2,,,,,,NEW ZEALAND
1932,9,26,1,2,161,,4106,3218,GREECE
1932,11,4,1,,,,,,VENEZUELA
1932,11,10,-1,5.4,,,,,USA
1933,1,8,4,9,2,,,,RUSSIA
1933,2,23,1,,,,,,CHILE
1933,3,2,4,29,3022,,6000,,JAPAN
1933,3,11,1,0.1,120,41,,,USA
1933,4,23,1,2,181,,,,GREECE
1933,5,19,3,,,,,,TOGO
1933,6,18,4,0.2,,,,,JAPAN
1933,10,2,3,,,,,,ECUADOR
1933,12,12,2,,,,,,PAPUA NEW GUINEA
1933,12,25,1,,9,,,,PHILIPPINES
1934,1,15,0,,10600,,,,NEPAL
1934,2,14,4,,,,,,PHILIPPINES
1934,4,7,4,62.3,41,,,,NORWAY
1934,6,3,2,,,,,,ICELAND
1934,7,18,3,,,0.05,,,PANAMA
1934,7,18,3,0.65,,,,,SOLOMON ISLANDS
1934,7,21,3,,,,,,SOLOMON ISLANDS
1934,8,21,0,12,,0.075,1,,USA
1934,11,30,4,0.11,,,,,MEXICO
1934,12,4,1,,,,,,CHILE
1934,12,12,1,,,,,,PAPUA NEW GUINEA
1935,1,4,3,,5,,,,TURKEY
1935,5,30,0,,60000,25,,,PAKISTAN
1935,7,19,4,0.2,,,,,JAPAN
1935,8,22,1,,,,,,PORTUGAL
1935,9,20,3,,,,,,PAPUA NEW GUINEA
1935,10,12,4,0.3,,,,,JAPAN
1935,10,18,4,0.2,,,,,JAPAN
1935,11,21,1,,,,,,USA
1935,11,25,2,,,,,,INDONESIA
1935,12,18,0,,100,,,,CHINA
1935,12,28,1,,,,,,INDONESIA
1936,2,2,1,,,,,,NEW ZEALAND
1936,2,25,1,,,,,,NAURU
1936,4,1,4,3,,,169,,INDONESIA
1936,7,13,4,1,1,,,,CHILE
1936,8,23,2,,9,,,,INDONESIA
1936,9,13,4,74,73,,,,NORWAY
1936,10,27,4,149.35,,,,,USA
1936,11,2,4,0.7,,,,,JAPAN
1936,11,13,2,13,,,,,RUSSIA
1936,,,3,2.2,,,,,NEW CALEDONIA
1937,5,29,4,2.5,507,,,,PAPUA NEW GUINEA
1937,8,20,3,,1,,,,PHILIPPINES
1937,9,21,3,,,,,,RUSSIA
1937,9,21,-1,,,,,,USA
1937,9,22,1,,,,,,RUSSIA
1937,11,6,2,0.5,,,,,INDONESIA
1938,1,28,0,,,,,,CONGO
1938,2,1,4,1,,,24,8,INDONESIA
1938,2,6,2,,5,,,,AUSTRALIA
1938,2,13,2,0.5,,,,,INDONESIA
1938,3,6,1,0.03,,,,,PAPUA NEW GUINEA
1938,3,22,-1,,,,,,CANADA
1938,3,,4,,,,,,NORWAY
1938,5,12,3,,,,,,PAPUA NEW GUINEA
1938,5,19,4,3,17,,942,,INDONESIA
1938,5,23,4,0.83,,,,,JAPAN
1938,5,28,4,0.9,1,,7,,JAPAN
1938,6,10,4,1.5,,,,,JAPAN
1938,9,21,1,,,,,,USA
1938,11,5,4,0.57,1,,20,,JAPAN
1938,11,5,4,0.56,,,,,JAPAN
1938,11,6,4,1.26,,,,,JAPAN
1938,11,6,4,1.25,,,,,JAPAN
1938,11,9,-1,,,,,,JAPAN
1938,11,10,4,0.3,,,,,USA
1938,11,13,4,0.75,,,,,JAPAN
1938,11,16,-1,,,,,,JAPAN
1938,11,22,4,0.3,,,,,JAPAN
1938,11,30,4,0.2,,,,,JAPAN
1939,1,25,1,,30000,920,,,CHILE
1939,1,27,1,,,,,,ITALY
1939,1,30,2,,5,,,,PAPUA NEW GUINEA
1939,3,20,4,0.8,1,,1,,JAPAN
1939,4,18,1,,,,,,CHILE
1939,4,30,3,10.5,12,,,,SOLOMON ISLANDS
1939,5,1,4,1.2,27,,479,,JAPAN
1939,5,6,1,,,,,,PHILIPPINES
1939,5,8,4,0.2,,,,,PORTUGAL
1939,6,22,2,,22,,1500,,GHANA
1939,7,24,2,2,,,,,GRENADA
1939,8,15,2,,,,,,CUBA
1939,12,21,3,,,,,,INDONESIA
1939,12,26,4,0.53,32700,20,120000,,TURKEY
1940,1,15,2,,,,,,ITALY
1940,5,24,2,2,179,,,,PERU
1940,8,1,4,5,10,,20,,JAPAN
1940,8,31,4,,,,,,NORWAY
1940,10,4,1,,,,,,CHILE
1940,10,11,1,,,,,,CHILE
1941,1,13,4,0.15,4,,1,,PAPUA NEW GUINEA
1941,1,20,2,,,,,,CYPRUS
1941,2,9,0,,,,,,USA
1941,3,16,2,,,,,,ITALY
1941,6,26,4,1.5,,,,,INDIA
1941,7,7,3,6,,,,,SPAIN
1941,11,18,4,1.2,2,,27,,JAPAN
1941,11,25,4,0.23,,,,,ATLANTIC OCEAN
1941,12,5,4,0.23,6,,,,COSTA RICA
1941,12,6,4,0.1,,,,,COSTA RICA
1942,5,22,1,1,,,,,COLOMBIA
1942,5,,3,3,,,,,NEW CALEDONIA
1942,8,24,4,2,30,,,,PERU
1943,4,6,4,1,11,,,,CHILE
1943,6,13,4,0.6,,,,,JAPAN
1944,4,9,0,9.14,,,,,USA
1944,8,20,4,,,,1,,ITALY
1944,9,14,1,,,,,,USA
1944,10,6,3,,30,,5500,,TURKEY
1944,12,7,4,10,1223,,29205,46950,JAPAN
1944,,,1,,,,,,USA
1945,1,12,4,1,2306,,7221,,JAPAN
1945,2,10,4,0.4,2,,2,,JAPAN
1945,11,27,4,17,4000,25,,,PAKISTAN
1946,4,1,4,42,168,26.271,,,USA
1946,6,23,4,9,,,,,CANADA
1946,8,2,2,,2,,,,CHILE
1946,8,4,4,5,1790,,,,DOMINICAN REPUBLIC
1946,8,8,4,0.6,75,,,,DOMINICAN REPUBLIC
1946,9,30,2,,,,,,PERU
1946,11,1,1,,,,,,USA
